test_case,covered_branches
"RegressionTest2::test1152",8
"RegressionTest2::test1160",8
"RegressionTest2::test1191",8
"RegressionTest2::test1194",8
"RegressionTest2::test1239",8
"RegressionTest2::test1254",8
"RegressionTest2::test1318",8
"RegressionTest2::test1448",8
"RegressionTest2::test1453",8
"OptionsTest::testHelpOptions",8
"RegressionTest0::test0098",8
"RegressionTest0::test0238",8
"RegressionTest0::test0239",8
"RegressionTest0::test0253",8
"RegressionTest0::test0307",8
"RegressionTest0::test0336",8
"RegressionTest0::test0401",8
"RegressionTest0::test0437",8
"PatternOptionBuilderTest::testUntypedPattern",8
"Option_ESTest::test05",7
"Option_ESTest::test29",7
"Option_ESTest::test34",7
"Option_ESTest::test35",7
"Option_ESTest::test47",7
"Option_ESTest::test48",7
"RegressionTest3::test1512",7
"RegressionTest3::test1541",7
"RegressionTest3::test1544",7
"RegressionTest3::test1577",7
"RegressionTest3::test1598",7
"RegressionTest3::test1618",7
"RegressionTest3::test1638",7
"RegressionTest3::test1646",7
"RegressionTest3::test1661",7
"RegressionTest3::test1670",7
"RegressionTest3::test1674",7
"RegressionTest3::test1753",7
"RegressionTest3::test1821",7
"RegressionTest3::test1824",7
"RegressionTest3::test1839",7
"RegressionTest3::test1841",7
"RegressionTest3::test1845",7
"RegressionTest3::test1858",7
"RegressionTest3::test1865",7
"RegressionTest3::test1888",7
"RegressionTest3::test1905",7
"RegressionTest3::test1921",7
"RegressionTest3::test1951",7
"RegressionTest3::test1957",7
"RegressionTest3::test1958",7
"HelpFormatterTest::testFindWrapPos",7
"OptionGroupTest::testTwoValidOptions",7
"OptionGroupTest::testTwoValidLongOptions",7
"OptionGroupTest::testTwoOptionsFromDifferentGroup",7
"RegressionTest1::test0501",7
"RegressionTest1::test0511",7
"RegressionTest1::test0587",7
"RegressionTest1::test0619",7
"RegressionTest1::test0629",7
"RegressionTest1::test0639",7
"RegressionTest1::test0643",7
"RegressionTest1::test0659",7
"RegressionTest1::test0667",7
"RegressionTest1::test0675",7
"RegressionTest1::test0679",7
"RegressionTest1::test0692",7
"RegressionTest1::test0701",7
"RegressionTest1::test0749",7
"RegressionTest1::test0754",7
"RegressionTest1::test0761",7
"RegressionTest1::test0766",7
"RegressionTest1::test0802",7
"RegressionTest1::test0818",7
"RegressionTest1::test0831",7
"RegressionTest1::test0872",7
"RegressionTest1::test0882",7
"RegressionTest1::test0894",7
"RegressionTest1::test0895",7
"RegressionTest1::test0919",7
"RegressionTest1::test0937",7
"RegressionTest1::test0961",7
"RegressionTest1::test0973",7
"RegressionTest1::test0978",7
"RegressionTest1::test0986",7
"OptionTest::testClear",7
"RegressionTest2::test1013",7
"RegressionTest2::test1016",7
"RegressionTest2::test1082",7
"RegressionTest2::test1106",7
"RegressionTest2::test1128",7
"RegressionTest2::test1137",7
"RegressionTest2::test1142",7
"RegressionTest2::test1151",7
"RegressionTest2::test1167",7
"RegressionTest2::test1195",7
"RegressionTest2::test1211",7
"RegressionTest2::test1222",7
"RegressionTest2::test1252",7
"RegressionTest2::test1256",7
"RegressionTest2::test1293",7
"RegressionTest2::test1304",7
"RegressionTest2::test1316",7
"RegressionTest2::test1324",7
"RegressionTest2::test1349",7
"RegressionTest2::test1380",7
"RegressionTest2::test1411",7
"RegressionTest2::test1444",7
"RegressionTest2::test1479",7
"RegressionTest0::test0078",7
"RegressionTest0::test0155",7
"RegressionTest0::test0162",7
"RegressionTest0::test0181",7
"RegressionTest0::test0189",7
"RegressionTest0::test0196",7
"RegressionTest0::test0209",7
"RegressionTest0::test0229",7
"RegressionTest0::test0265",7
"RegressionTest0::test0302",7
"RegressionTest0::test0317",7
"RegressionTest0::test0361",7
"RegressionTest0::test0398",7
"RegressionTest0::test0421",7
"RegressionTest0::test0442",7
"HelpFormatter_ESTest::test38",7
"Option_ESTest::test42",6
"Option_ESTest::test43",6
"RegressionTest3::test1593",6
"RegressionTest3::test1635",6
"RegressionTest3::test1681",6
"RegressionTest3::test1690",6
"RegressionTest3::test1742",6
"RegressionTest3::test1761",6
"RegressionTest3::test1775",6
"RegressionTest3::test1815",6
"RegressionTest3::test1826",6
"RegressionTest3::test1893",6
"RegressionTest3::test1943",6
"RegressionTest3::test1946",6
"RegressionTest1::test0503",6
"RegressionTest1::test0510",6
"RegressionTest1::test0535",6
"RegressionTest1::test0562",6
"RegressionTest1::test0571",6
"RegressionTest1::test0579",6
"RegressionTest1::test0580",6
"RegressionTest1::test0582",6
"RegressionTest1::test0584",6
"RegressionTest1::test0597",6
"RegressionTest1::test0601",6
"RegressionTest1::test0607",6
"RegressionTest1::test0623",6
"RegressionTest1::test0624",6
"RegressionTest1::test0636",6
"RegressionTest1::test0666",6
"RegressionTest1::test0690",6
"RegressionTest1::test0705",6
"RegressionTest1::test0733",6
"RegressionTest1::test0740",6
"RegressionTest1::test0741",6
"RegressionTest1::test0744",6
"RegressionTest1::test0783",6
"RegressionTest1::test0803",6
"RegressionTest1::test0807",6
"RegressionTest1::test0833",6
